axis,speed_m_per_s,pair_scalar_shift_hz,pair_vector_shift_hz,pair_tensor_shift_hz,pair_scalar_plus_tensor_shift_hz,pair_total_shift_hz
x,-17.875,-5449293.52082986,-111846.94751038402,5447431.488495422,-1862.0323344385251,-113708.97984482255
x,-17.75,-5449255.606959192,-111064.16055969335,5447418.507234603,-1837.0997245889157,-112901.26028428227
x,-17.625,-5449217.886811357,-110281.24646359961,5447405.592503762,-1812.2943075951189,-112093.54077119473
x,-17.5,-5449180.165452439,-109498.33192647621,5447392.677353474,-1787.4880989650264,-111285.82002544124
x,-17.375,-5449142.979366011,-108715.77210227493,5447379.94495662,-1763.0344093907624,-110478.8065116657
x,-17.25,-5449106.351795442,-107933.58245025016,5447367.403245293,-1738.9485501497984,-109672.53100039996
x,-17.125,-5449069.724456331,-107151.39266308676,5447354.861614171,-1714.8628421593457,-108866.25550524611
x,-17.0,-5449033.09713028,-106369.20315484237,5447342.319987522,-1690.7771427575499,-108059.98029759992
x,-16.875,-5448996.4695597105,-105587.0135028176,5447329.778276196,-1666.6912835147232,-107253.70478633232
x,-16.75,-5448960.811691515,-104804.18270731997,5447317.569522906,-1643.242168609053,-106447.42487592902
x,-16.625,-5448925.18805596,-104021.32956495974,5447305.3725237325,-1619.815532227978,-105641.14509718772
x,-16.5,-5448889.564175889,-103238.47627881914,5447293.175439883,-1596.3887360058725,-104834.86501482502
x,-16.375,-5448854.646666838,-102456.09109721519,5447281.219563777,-1573.427103061229,-104029.51820027642
x,-16.25,-5448820.114238995,-101673.96079756878,5447269.395185465,-1550.7190535301343,-103224.67985109892
x,-16.125,-5448785.581091084,-100891.83034624718,5447257.570557735,-1528.0105333486572,-102419.84087959584
x,-16.0,-5448751.048919685,-100109.70046902541,5447245.746268183,-1505.302651502192,-101615.0031205276
x,-15.875,-5448716.641111556,-99327.48744326178,5447233.964671117,-1482.676440439187,-100810.16388370097
