Wavelength (nm),Differential Scalar Polarizability,Differential Vector Polarizability,Differential Tensor Polarizability
1529.1254500205969,-2.7539453302238023e-34,-1.8037233512785908e-34,9.77900067302434e-36
1529.125455020668,-2.75400930887056e-34,-1.8037562854936362e-34,9.778629565894222e-36
1529.125460020739,-2.7540732906774532e-34,-1.8037892207580884e-34,9.778258401527216e-36
1529.12546502081,-2.75413727564292e-34,-1.8038221570710429e-34,9.777887179925767e-36
1529.125470020881,-2.7542012637653997e-34,-1.8038550944315973e-34,9.777515901092238e-36
1529.125475020952,-2.7542652550505875e-34,-1.8038880328425862e-34,9.777144564986897e-36
1529.1254800210231,-2.7543292494987362e-34,-1.8039209723040397e-34,9.776773171601643e-36
1529.1254850210942,-2.754393247104654e-34,-1.8039539128131863e-34,9.776401720959913e-36
1529.1254900211652,-2.754457247870408e-34,-1.8039868543709916e-34,9.776030213043079e-36
1529.125495021236,-2.7545212517998806e-34,-1.804019796979355e-34,9.77565864782186e-36
1529.125500021307,-2.754585258889694e-34,-1.8040527406364382e-34,9.775287025309251e-36
1529.125505021378,-2.7546492691437324e-34,-1.8040856853441436e-34,9.774915345475992e-36
1529.1255100214491,-2.754713282558616e-34,-1.8041186311006305e-34,9.77454360833504e-36
1529.1255150215202,-2.7547772991364146e-34,-1.8041515779068661e-34,9.774171813867732e-36
1529.1255200215912,-2.754841318870116e-34,-1.8041845257591435e-34,9.773799962108068e-36
